provider,run_mode,city,start_time,scrap_time,station_name,device_id,device_type,network,access,kw,status_label,available_connectors,total_connectors,lat,lng,address,data
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:53:58,,DEALLEGO000057,Type2,Allego,Unspecified,,,null,2,52.525864,13.301082,"{'streetAndNumber': 'Osnabrücker Str. 26', 'postalCode': '10589', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:53:59,,DEALLEGO001123,Type2,Allego,Unspecified,,,null,2,52.590506,13.28121,"{'streetAndNumber': 'Am Tegeler Hafen 3', 'postalCode': '13507', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:00,,DEALLEGO001268,Type2,Allego,Unspecified,,,null,2,52.491661,13.315319,"{'streetAndNumber': 'Württembergische Str. 6', 'postalCode': '10707', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:01,,DEALLEGO000300,Type2,Allego,Unspecified,,,null,1,52.512883,13.416444,"{'streetAndNumber': 'Am Köllnischen Park 3', 'postalCode': '10179', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:02,,DEVATL000162757,Type2,Vattenfall DE,FreePublic,,,null,2,52.561143,13.212273,"{'streetAndNumber': 'Rauchstraße 56 ', 'postalCode': '13587', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:03,,+49*839*030*000016,Type2,ebee,FreePublic,,,null,1,52.51768,13.400841,"{'streetAndNumber': 'Schloßplatz 5', 'postalCode': '10178', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:04,,DEALLEGO001093,Type2,Allego,Unspecified,,,null,1,52.444147,13.37958,"{'streetAndNumber': 'Rathausstraße 31', 'postalCode': '12105', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:04,,DEALLEGO001094,Type2,Allego,Unspecified,,,null,1,52.444147,13.37958,"{'streetAndNumber': 'Rathausstraße 31', 'postalCode': '12105', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:05,,DEVATL000162752,Type2,Vattenfall DE,FreePublic,,,null,2,52.47279,13.33491,"{'streetAndNumber': 'Lauterstraße 12 ', 'postalCode': '12159', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:06,,03004150,Type2,NewMotion,Unspecified,,,null,1,52.507644,13.487074,"{'streetAndNumber': 'Coppistraße 3', 'postalCode': '10365', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:07,,DEALLEGO000415,TepcoCHAdeMO,Allego,Unspecified,,,null,3,52.382725,13.101931,"{'streetAndNumber': 'Fritz-Zubeil-Str. 51', 'postalCode': '14482', 'city': 'Potsdam', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:08,,DEALLEGO000186,Type2,Allego,Unspecified,,,null,2,52.513068,13.288812,"{'streetAndNumber': 'Knobelsdorffstr. 53', 'postalCode': '14059', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:09,,03000851,Type2,NewMotion,Unspecified,,,null,1,52.404407,13.25552,"{'streetAndNumber': 'Oderstraße 15-20', 'postalCode': '14513', 'city': 'Teltow', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:10,,DEALLEGO001131,Type2,Allego,Unspecified,,,null,2,52.456387,13.376778,"{'streetAndNumber': 'Friedrich-Karl-Str. 36', 'postalCode': '12103', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:11,,DEALLEGO001957,Type2,Allego,Unspecified,,,null,2,52.493479,13.445284,"{'streetAndNumber': 'Lohmühlenstraße 62', 'postalCode': '12435', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:12,,DEALLEGO001972,Type2,Allego,Unspecified,,,null,2,52.525456,13.398315,"{'streetAndNumber': 'Ruppiner Str. 5', 'postalCode': '10115', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:13,,DEALLEGO001990,Type2,Allego,Unspecified,,,null,2,52.525456,13.398315,"{'streetAndNumber': 'Krausnickstr. 13', 'postalCode': '10115', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:13,,DEVATL000162736,Type2,Vattenfall DE,FreePublic,,,null,2,52.523461,13.413223,"{'streetAndNumber': 'Alexanderstraße 2 ', 'postalCode': '10179', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:14,,DEALLEGO001944,Type2,Allego,Unspecified,,,null,2,52.490282,13.448514,"{'streetAndNumber': 'Bouchéstr. 22', 'postalCode': '12435', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:15,,PP00456,Type2,innogy,FreePublic,,,null,2,52.542927,13.543738,"{'streetAndNumber': 'Märzahner Promenade 8', 'postalCode': '12679', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:16,,PP00392,Type2,innogy,FreePublic,,,null,2,52.521687,13.585812,"{'streetAndNumber': 'Teterower Ring 43', 'postalCode': '12619', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:17,,PP00427,Type2,innogy,FreePublic,,,null,2,52.537556,13.370444,"{'streetAndNumber': 'Boyenstr. 23', 'postalCode': '10115', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:18,,DEALLEGO001162,Type2,Allego,Unspecified,,,null,2,52.486798,13.46395,"{'streetAndNumber': 'Herkomerstr. 3', 'postalCode': '12435', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:19,,DEALLEGO001039,Type2,Allego,Unspecified,,,null,2,52.479501,13.445771,"{'streetAndNumber': 'Roseggerstr. 14', 'postalCode': '12059', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:20,,DEALLEGO001912,Type2,Allego,Unspecified,,,null,2,52.442574,13.302274,"{'streetAndNumber': 'Sophienstr. 1', 'postalCode': '12203', 'city': 'Berlin', 'country': 'DEU'}",
newmotion,test,Berlin,2020-08-28 01:47:02,2020-08-28 01:54:21,,DEALLEGO001038,Type2,Allego,Unspecified,,,null,2,52.517603,13.290254,"{'streetAndNumber': 'Danckelmannstr. 1', 'postalCode': '14059', 'city': 'Berlin', 'country': 'DEU'}",
